lego;LEGO Juris A/S;generic
lexus;TOYOTA MOTOR CORPORATION;generic
lgbt;Afilias plc;generic
liaison;Liaison Technologies, Incorporated;generic
lidl;Schwarz Domains und Services GmbH & Co. KG;generic
life;Binky Moon, LLC;generic
lifeinsurance;American Council of Life Insurers;generic
lifestyle;Lifestyle Domain Holdings, Inc.;generic
lighting;Binky Moon, LLC;generic
like;Amazon Registry Services, Inc.;generic
lilly;Eli Lilly and Company;generic
limited;Binky Moon, LLC;generic
limo;Binky Moon, LLC;generic
lincoln;Ford Motor Company;generic
linde;Linde Aktiengesellschaft;generic
link;Uniregistry, Corp.;generic
lipsy;Lipsy Ltd;generic
live;United TLD Holdco Ltd.;generic
living;Lifestyle Domain Holdings, Inc.;generic
lixil;LIXIL Group Corporation;generic
llc;Afilias plc;generic
loan;dot Loan Limited;generic
loans;Binky Moon, LLC;generic
locker;Dish DBS Corporation;generic
locus;Locus Analytics LLC;generic
loft;Annco, Inc.;generic
lol;Uniregistry, Corp.;generic
london;Dot London Domains Limited;generic
lotte;Lotte Holdings Co., Ltd.;generic
lotto;Afilias plc;generic
love;Merchant Law Group LLP;generic
lpl;LPL Holdings, Inc.;generic
lplfinancial;LPL Holdings, Inc.;generic
ltd;Binky Moon, LLC;generic
ltda;InterNetX Corp.;generic
lundbeck;H. Lundbeck A/S;generic
lupin;LUPIN LIMITED;generic
luxe;Top Level Domain Holdings Limited;generic
luxury;Luxury Partners LLC;generic
macys;Macys, Inc.;generic
madrid;Comunidad de Madrid;generic
maif;Mutuelle Assurance Instituteur France (MAIF);generic
maison;Binky Moon, LLC;generic
makeup;L'Oréal;generic
man;MAN SE;generic
management;Binky Moon, LLC;generic
mango;PUNTO FA S.L.;generic
map;Charleston Road Registry Inc.;generic
market;United TLD Holdco, Ltd;generic
marketing;Binky Moon, LLC;generic
markets;DOTMARKETS REGISTRY LTD;generic
marriott;Marriott Worldwide Corporation;generic
marshalls;The TJX Companies, Inc.;generic
maserati;Fiat Chrysler Automobiles N.V.;generic
mattel;Mattel Sites, Inc.;generic
mba;Binky Moon, LLC;generic
mcd;Not assigned;generic
mcdonalds;Not assigned;generic
mckinsey;McKinsey Holdings, Inc.;generic
med;Medistry LLC;generic
media;Binky Moon, LLC;generic
meet;Charleston Road Registry Inc.;generic
melbourne;The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation;generic
meme;Charleston Road Registry Inc.;generic
memorial;Dog Beach, LLC;generic
men;Exclusive Registry Limited;generic
menu;Wedding TLD2, LLC;generic
meo;Not assigned;generic
merckmsd;MSD Registry Holdings, Inc.;generic
metlife;MetLife Services and Solutions, LLC;generic
miami;Top Level Domain Holdings Limited;generic
microsoft;Microsoft Corporation;generic
mini;Bayerische Motoren Werke Aktiengesellschaft;generic
mint;Intuit Administrative Services, Inc.;generic
mit;Massachusetts Institute of Technology;generic
mitsubishi;Mitsubishi Corporation;generic
mlb;MLB Advanced Media DH, LLC;generic
mls;The Canadian Real Estate Association;generic
mma;MMA IARD;generic
mobi;Mobile;generic
mobile;Dish DBS Corporation;generic
mobily;GreenTech Consultancy Company W.L.L.;generic
moda;United TLD Holdco Ltd.;generic
moe;Interlink Co., Ltd.;generic
moi;Amazon Registry Services, Inc.;generic
mom;Uniregistry, Corp.;generic
monash;Monash University;generic
money;Binky Moon, LLC;generic
monster;Monster Worldwide, Inc.;generic
montblanc;Not assigned;generic
mopar;FCA US LLC.;generic
mormon;"IRI Domain Management, LLC (""Applicant"")";generic
mortgage;United TLD Holdco, Ltd;generic
moscow;Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID);generic
moto;Motorola Trademark Holdings, LLC;generic
motorcycles;DERMotorcycles, LLC;generic
mov;Charleston Road Registry Inc.;generic
movie;Binky Moon, LLC;generic
movistar;Telefónica S.A.;generic
msd;MSD Registry Holdings, Inc.;generic
mtn;MTN Dubai Limited;generic
mtpc;Retired;generic
mtr;MTR Corporation Limited;generic
mutual;Northwestern Mutual MU TLD Registry, LLC;generic
mutuelle;Retired;generic
nab;National Australia Bank Limited;generic
nadex;Nadex Domains, Inc;generic
nagoya;GMO Registry, Inc.;generic
nationwide;Nationwide Mutual Insurance Company;generic
natura;NATURA COSMÉTICOS S.A.;generic
